Fixation,Palabra,Imagen,Correct_answer
Fixation_Point_Coin_Star-1.jpg,horse.mp3,I121.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,bear.mp3,I073.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,tomato.mp3,I094.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,leg.mp3,I097.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,spoon.mp3,I173.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,cake.mp3,I111.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,sock.mp3,I211.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,bottle.mp3,I118.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,mouse.mp3,I081.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,strawberry.mp3,I122.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,hat.mp3,I134.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,snail.mp3,I208.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,couch.mp3,I067.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,fish.mp3,I140.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,hair.mp3,I113.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,spider.mp3,I145.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,clock.mp3,I155.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,shoe.mp3,I204.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,crocodile.mp3,I149.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,airplane.mp3,I036.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,snake.mp3,I100.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,clown.mp3,I209.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,door.mp3,I217.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,necklace.mp3,I153.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,car.mp3,I047.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,butterfly.mp3,I040.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,monkey.mp3,I063.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,dog.mp3,I212.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,lion.mp3,I089.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,bird.mp3,I244.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,zebra.mp3,I260.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,bread.mp3,I036.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,sun.mp3,I222.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,lemon.mp3,I135.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,tree.mp3,I241.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,hand.mp3,I115.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,tiger.mp3,I233.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,nose.mp3,I236.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,belt.mp3,I226.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,moon.mp3,I146.png,ArrowRight
